"What is regulated data?","Data governed by laws, regulations, or standards like PCI DSS, HIPAA, or GDPR."
"What is an example of regulated data?","Credit card information, health data, or personal information."
"What does PCI DSS regulate?","Credit card information."
"What law governs health information in the US?","HIPAA (Health Insurance Portability and Accountability Act)."
"What regulation governs personal data in the EU?","GDPR (General Data Protection Regulation)."
"What is a trade secret?","Confidential information that gives an organization a competitive advantage."
"Why is confidentiality important for trade secrets?","Because their value lies in their secrecy."
"What is intellectual property (IP)?","Creations of the mind that can be legally protected."
"What are examples of intellectual property?","Patents, copyrights, and trademarks."
"What is the focus of IP protection?","Legal rights and preventing unauthorized use."
"What is legal information in data classification?","Court records that may contain sensitive or private information."
"Why is legal information hard to protect?","It must balance transparency and privacy."
"What is financial data?","Company financial records and customer financial details."
"What are examples of financial data?","Bank accounts, transaction details, internal reports."
"What is human-readable data?","Data easily understood by humans, like documents or spreadsheets."
"What is non-human-readable data?","Data that requires machines or software to interpret."
"What is data sensitivity?","A measure of how damaging unauthorized access to data would be."
"What kind of data has high sensitivity?","Medical records, trade secrets, or financial data."
"What is data classification?","Categorizing data based on its sensitivity and value."
"What is the purpose of classifying data?","To apply appropriate protection based on its importance."
"What controls are influenced by data classification?","Access permissions, handling procedures, and network segmentation."
"What is proprietary data?","Data owned and unique to an organization."
"Why is proprietary data important?","It provides competitive advantage and needs strong protection."
"What is PII?","Personally Identifiable Information that can identify a person."
"What are examples of PII?","Name, address, date of birth, SSN, biometric data."
"What is PHI?","Protected Health Information related to a person’s health or healthcare payments."
"What regulation protects PHI in the US?","HIPAA."
"What is the 'Public' classification label?","Data intended for public release, requiring minimal protection."
"What is the 'Sensitive' label used for?","Internal data not for public release but not critically harmful if leaked."
"What is the 'Private' or 'Confidential' label?","Highly sensitive data requiring strong protection."
"What kind of data is usually labeled 'Private'?","PII, PHI, financial records, trade secrets."
"What is 'Critical' data?","Data essential to core operations, requiring uptime and recovery plans."
"What are the three states of data?","Data at Rest, Data in Transit, Data in Use."
"What is data at rest?","Data stored on persistent storage and not actively moving or being processed."
"What are examples of data at rest?","Files on HDD, SSD, USB, backup tapes, databases, file servers."
"What are key security concerns for data at rest?","Unauthorized access or theft while stored."
"What are key controls for data at rest?","Encryption, access controls, physical security."
"What is Full Disk Encryption (FDE)?","Encrypting an entire storage device to protect data at rest."
"What is data in transit?","Data actively moving between locations, usually over a network."
"What are examples of data in transit?","Web traffic, email, file transfers, API calls."
"What are key security concerns for data in transit?","Data interception or modification during transfer."
"What are key controls for data in transit?","TLS/SSL, IPsec, firewalls, intrusion prevention systems."
"What is TLS?","Transport Layer Security, a protocol to encrypt network communications."
"What is data in use?","Data actively processed by a CPU or application in memory."
"What are examples of data in use?","Data in spreadsheets, RAM, CPU cache, or running apps."
"What are security challenges with data in use?","Data is often in cleartext for processing."
"What are controls for data in use?","Endpoint protection, secure coding, minimizing memory time, secure enclaves."
"What is data sovereignty?","Data is subject to the laws of the country where it is stored or processed."
"Why is data sovereignty important?","It affects legal compliance, especially with data privacy laws."
"What is an example of data sovereignty regulation?","GDPR in the European Union."
"Why must organizations know data location?","To understand which country’s laws apply to their data."
"What is geolocation?","Identifying the physical location of a device or object."
"What technologies are used for geolocation?","GPS, IP mapping, Wi-Fi positioning, cell tower data."
"What is context-aware access control?","Restricting access based on the user’s physical location."
"What is content restriction in security?","Blocking content based on the user's geographic region."
"How does geolocation help in fraud prevention?","Detects logins or actions from unexpected locations."
"What is geofencing?","A virtual boundary that controls access based on user location—e.g., only allowing access to files when inside a company building."
"What technologies are used to determine user location?","IP address/subnet, GPS, Wi-Fi positioning (SSID databases), cell tower data."
"What is the purpose of geographic restrictions?","To control access to data based on the user's or data's physical location."
"Why is data protection important across all locations and states?","Data exists in many forms and places, each with different attack surfaces requiring consistent protection."
"What is encryption?","The process of transforming plaintext into unreadable ciphertext using an algorithm and a key to ensure confidentiality."
"How is encrypted data made readable again?","By using decryption with the correct key."
"What is confusion in encryption?","A feature where ciphertext appears random and has no resemblance to the plaintext."
"What is hashing?","A one-way function that converts data into a fixed-size hash value to ensure data integrity and secure password storage."
"Is hashing reversible?","No, hashing is non-reversible—you cannot retrieve the original input from the hash."
"What are key uses of hashing?","Data integrity checks, password storage, digital signatures, and collision resistance."
"What is a hash collision?","When two different inputs produce the same hash value, compromising the hash's reliability."
"What is the avalanche effect in hashing?","A small change in input causes a large, unpredictable change in the hash output."
"What is obfuscation?","Making code or data hard to read without changing its function—often used to deter analysis or reverse engineering."
"Is obfuscation the same as encryption?","No, obfuscation is not encryption and can often be reversed."
"What is data masking?","A form of obfuscation that hides parts of sensitive data by replacing them with non-sensitive characters (e.g., ****1234)."
"When is data masking used?","In reports, receipts, or dev environments to protect PII or financial data."
"What is tokenization?","Replacing sensitive data with a token, which is meaningless if stolen. The original data is stored securely in a vault."
"How does tokenization differ from encryption?","Tokenization has no algorithmic reversal; it uses a lookup in a secure token vault."
"What is a use case for tokenization?","Mobile payments like Apple Pay or Google Pay, where card numbers are replaced with tokens."
"What is segmentation in cybersecurity?","Dividing a network or storage into smaller sections to contain breaches and apply targeted controls."
"What are benefits of segmentation?","Limits breach impact, allows more granular security for sensitive areas."
"What is access control?","Restricting data access based on identity and privileges, using authentication and authorization."
"What is the principle of least privilege?","Users should only have the minimum access needed to perform their job."
