"What is the purpose of a vulnerability scan?","To identify potential weaknesses in systems without actively exploiting them."
"How does a vulnerability scan differ from a penetration test?","Vulnerability scan is non-intrusive and detects potential vulnerabilities, while a penetration test is intrusive and attempts exploitation."
"What is the purpose of a port scan in vulnerability scanning?","To identify open or closed ports, which may represent potential attack vectors."
"Why are open ports a concern in vulnerability scans?","They may represent potential attack vectors, even if not always vulnerable."
"What is the difference between external and internal scans?","External scans detect exposure from outside, internal scans identify risks from insider threats."
"What types of severity ratings are typically included in vulnerability scan reports?","Critical, High, Medium, Low, and Informational."
"What is a false positive in vulnerability scanning?","A reported vulnerability that doesn't actually exist or can't be exploited."
"Why must analysts manually verify vulnerabilities from scans?","To confirm which are real and require remediation, avoiding acting on false positives."
"What does a finding like a weak SSH host key indicate in a scan report?","A critical vulnerability due to a flaw in the OpenSSL RNG."
"Why is an unsupported operating system considered a critical vulnerability?","It no longer receives patches, making it susceptible to known exploits."
"What is the next step after confirming vulnerabilities from a scan?","Addressing them via change control processes like patching OS or applications."
"What does Static Application Security Testing (SAST) analyze?","The source code of an application without executing it."
"What types of issues can SAST identify?","Buffer overflows, SQL/database injections, and other code-level issues."
"What are the limitations of SAST?","It can't detect flaws in authentication or cryptographic implementations and may miss runtime vulnerabilities."
"Does SAST produce false positives?","Yes, like vulnerability scans, it may require manual review to confirm findings."
"What is dynamic analysis also known as?","Fuzzing, fault injection, or robustness testing."
"What does fuzzing involve?","Inputting random or unexpected data to an app to provoke crashes, exceptions, or unexpected outputs."
"What is the goal of fuzzing?","To identify areas in the app that lack proper input validation."
"Who developed fuzzing and when?","Barton Miller’s class at University of Wisconsin in 1988."
"What is CERT BFF?","Basic Fuzzing Framework, a tool for fuzz testing available from Carnegie Mellon CERT."
"What are common package formats in Windows and Linux/macOS?","Windows: .exe or setup; macOS/Linux: .pkg, .deb, .rpm."
"What steps help verify the security of installation packages?","Check source, avoid third-party tampered packages, analyze in a sandbox/lab before deployment."
"Why must IT security professionals maintain continuous awareness of threats?","To stay updated on the latest threats and threat actors, guiding security decisions effectively."
"How does understanding threat actors help in security planning?","Knowing their origin and tools helps in anticipating and countering their tactics."
